,device_id,date,count_wifi,part_of_the_day
26,04833a47-4da4-493c-af58-403d88c27e63,2021-04-05,1,PART_2
27,04833a47-4da4-493c-af58-403d88c27e63,2021-04-06,1,PART_2
28,04833a47-4da4-493c-af58-403d88c27e63,2021-04-07,1,PART_2
29,04833a47-4da4-493c-af58-403d88c27e63,2021-04-08,1,PART_2
30,04833a47-4da4-493c-af58-403d88c27e63,2021-04-01,12,PART_3
31,04833a47-4da4-493c-af58-403d88c27e63,2021-04-02,1,PART_3
32,04833a47-4da4-493c-af58-403d88c27e63,2021-04-03,26,PART_3
33,04833a47-4da4-493c-af58-403d88c27e63,2021-04-04,1,PART_3
34,04833a47-4da4-493c-af58-403d88c27e63,2021-04-05,1,PART_3
35,04833a47-4da4-493c-af58-403d88c27e63,2021-04-07,1,PART_3
36,04833a47-4da4-493c-af58-403d88c27e63,2021-04-08,1,PART_3
37,04833a47-4da4-493c-af58-403d88c27e63,2021-04-01,16,PART_4
38,04833a47-4da4-493c-af58-403d88c27e63,2021-04-03,615,PART_4
39,04833a47-4da4-493c-af58-403d88c27e63,2021-04-05,1,PART_4
40,07048f64-6412-4699-a746-3fc687c33c95,2021-04-23,1,PART_1
41,07048f64-6412-4699-a746-3fc687c33c95,2021-04-28,6,PART_1
42,07048f64-6412-4699-a746-3fc687c33c95,2021-04-29,1,PART_1
43,07048f64-6412-4699-a746-3fc687c33c95,2021-05-06,1,PART_1
44,07048f64-6412-4699-a746-3fc687c33c95,2021-05-10,1,PART_1
45,07048f64-6412-4699-a746-3fc687c33c95,2021-04-17,8,PART_2
46,07048f64-6412-4699-a746-3fc687c33c95,2021-04-22,1,PART_2
47,07048f64-6412-4699-a746-3fc687c33c95,2021-04-28,1,PART_2
48,07048f64-6412-4699-a746-3fc687c33c95,2021-04-29,7,PART_2
49,07048f64-6412-4699-a746-3fc687c33c95,2021-05-04,10,PART_2
50,07048f64-6412-4699-a746-3fc687c33c95,2021-05-05,9,PART_2
51,07048f64-6412-4699-a746-3fc687c33c95,2021-05-13,10,PART_2
52,07048f64-6412-4699-a746-3fc687c33c95,2021-04-22,1,PART_3
53,07048f64-6412-4699-a746-3fc687c33c95,2021-04-26,9,PART_3
54,07048f64-6412-4699-a746-3fc687c33c95,2021-04-28,1,PART_3
55,07048f64-6412-4699-a746-3fc687c33c95,2021-05-04,1,PART_3
56,07048f64-6412-4699-a746-3fc687c33c95,2021-05-05,1,PART_3
57,07048f64-6412-4699-a746-3fc687c33c95,2021-05-09,1,PART_3
58,07048f64-6412-4699-a746-3fc687c33c95,2021-05-15,7,PART_3
59,07048f64-6412-4699-a746-3fc687c33c95,2021-04-22,1,PART_4
