,device_id,date,call_type,call_duration,part_of_the_day
146,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-06,2,107,PART_2
147,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-06,2,3,PART_2
148,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-06,2,1,PART_2
149,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-06,1,541,PART_2
150,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-05,1,100,PART_2
151,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-05,1,37,PART_2
152,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-05,2,0,PART_2
153,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-05,1,519,PART_2
154,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-05,2,320,PART_2
155,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-05,1,122,PART_3
156,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-05,2,0,PART_3
157,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-05,1,145,PART_3
158,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-05,1,278,PART_3
159,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-05,2,48,PART_3
160,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-05,2,167,PART_3
161,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-05,1,23,PART_3
162,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-06,2,359,PART_2
163,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-06,2,35,PART_3
164,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-06,1,160,PART_3
165,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-06,1,0,PART_3
166,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-06,2,202,PART_3
167,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,2,22,PART_1
168,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,2,8,PART_1
169,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,2,300,PART_2
170,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,2,141,PART_2
171,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,2,0,PART_2
172,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,1,15,PART_2
173,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,1,10,PART_2
174,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,2,77,PART_3
175,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,1,92,PART_3
176,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,1,35,PART_3
177,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,1,317,PART_3
178,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,1,29,PART_3
179,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,2,26,PART_4
180,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,1,9,PART_4
181,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-07,2,21,PART_4
182,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-08,2,12,PART_2
183,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-08,1,213,PART_2
184,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-08,1,195,PART_2
185,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-08,1,16,PART_3
186,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-09,2,1696,PART_3
187,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-10,2,149,PART_1
188,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-10,1,80,PART_2
189,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-10,1,245,PART_2
190,9ef8f342-07f1-4884-8d5f-e321acc3031e,2021-01-21,2,34,PART_2
191,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,70,PART_2
192,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,24,PART_2
193,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,20,PART_2
194,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
195,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
196,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,2,PART_2
197,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,174,PART_2
198,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
199,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,1,194,PART_2
200,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,11,PART_2
201,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,500,PART_2
202,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,35,PART_2
203,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,1,17,PART_2
204,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,12,PART_2
205,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,156,PART_2
206,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,18,PART_2
207,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,29,PART_2
208,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
209,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,44,PART_2
210,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,22,PART_2
211,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
212,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,93,PART_2
213,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
214,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
215,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,144,PART_2
216,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,16,PART_2
217,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,12,PART_2
218,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,1,88,PART_2
219,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
220,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
221,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,246,PART_2
222,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,61,PART_2
223,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
224,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,3,PART_2
225,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,307,PART_2
226,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,125,PART_2
227,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
228,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,88,PART_2
229,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,11,PART_2
230,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,28,PART_2
231,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
232,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
233,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,302,PART_2
234,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,60,PART_2
235,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
236,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_2
237,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,1,68,PART_2
238,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,170,PART_2
239,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,172,PART_2
240,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,153,PART_3
241,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,1,429,PART_3
242,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_3
243,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_3
244,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_3
245,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,36,PART_3
246,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,85,PART_3
247,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_3
248,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,55,PART_3
249,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,122,PART_3
250,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_3
251,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,219,PART_3
252,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,1,385,PART_3
253,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,76,PART_3
254,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,213,PART_3
255,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,253,PART_3
256,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_3
257,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,26,PART_3
258,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,1,181,PART_3
259,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,152,PART_3
260,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_3
261,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,1,1648,PART_3
262,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-09,2,0,PART_3
263,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,1,65,PART_2
264,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,0,PART_2
265,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,1,29,PART_2
266,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,57,PART_2
267,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,0,PART_2
268,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,106,PART_2
269,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,185,PART_2
270,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,0,PART_2
271,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,90,PART_2
272,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,546,PART_2
273,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,236,PART_2
274,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,0,PART_2
275,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,0,PART_2
276,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,0,PART_2
277,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,251,PART_2
278,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,344,PART_2
279,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,0,PART_2
280,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,1,235,PART_2
281,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,0,PART_2
282,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,1,145,PART_2
283,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,1158,PART_3
284,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,1,32,PART_3
285,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,2,0,PART_3
286,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2021-02-10,1,620,PART_3
287,9ef8f342-07f1-4884-8d5f-e321acc3031e,2021-02-11,2,0,PART_2
288,9ef8f342-07f1-4884-8d5f-e321acc3031e,2021-02-11,2,0,PART_2
289,9ef8f342-07f1-4884-8d5f-e321acc3031e,2021-02-11,2,20,PART_2
290,9ef8f342-07f1-4884-8d5f-e321acc3031e,2021-02-11,2,342,PART_2
