,device_id,message_type,date,count_mes_type,part_of_the_day
46,9ef8f342-07f1-4884-8d5f-e321acc3031e,1,2021-02-11,1,PART_3
47,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-11,2,PART_1
48,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-11,7,PART_2
49,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2,2021-02-11,2,PART_2
50,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-11,2,PART_3
51,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-12,2,PART_1
52,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-12,7,PART_2
53,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-14,2,PART_1
54,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-14,5,PART_2
55,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-14,2,PART_1
56,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-14,3,PART_2
57,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-14,2,PART_3
58,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-15,1,PART_1
59,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-15,5,PART_2
60,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2,2021-02-14,1,PART_2
61,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-15,4,PART_2
62,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2,2021-02-15,1,PART_2
63,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-15,2,PART_3
64,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-15,1,PART_4
65,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-16,2,PART_1
66,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-16,3,PART_1
67,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-16,4,PART_2
68,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-16,1,PART_2
69,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-16,6,PART_3
70,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-17,1,PART_1
71,94903104-e074-4b3f-bac2-0237076c53c3,2,2021-02-17,1,PART_1
72,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-17,3,PART_2
73,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-17,6,PART_3
74,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-16,2,PART_3
75,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,2,2021-02-16,1,PART_3
76,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-17,3,PART_2
77,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-17,3,PART_3
78,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-18,1,PART_1
79,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-18,1,PART_1
80,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-18,5,PART_2
81,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-18,3,PART_3
82,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-18,5,PART_2
83,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-18,2,PART_3
84,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-19,4,PART_2
85,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-19,1,PART_2
86,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-20,1,PART_4
87,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-21,1,PART_1
88,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,1,2021-02-21,2,PART_2
89,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-21,2,PART_1
90,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-21,4,PART_2
91,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-21,3,PART_3
92,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-22,1,PART_2
93,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-22,3,PART_3
94,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-23,1,PART_2
95,94903104-e074-4b3f-bac2-0237076c53c3,1,2021-02-23,5,PART_3
96,94903104-e074-4b3f-bac2-0237076c53c3,2,2021-02-23,2,PART_4
97,ec7ccc46-dc28-407b-b067-3e1bdec74b03,1,2021-03-07,2,PART_2
98,ec7ccc46-dc28-407b-b067-3e1bdec74b03,1,2021-03-08,1,PART_2
99,ec7ccc46-dc28-407b-b067-3e1bdec74b03,1,2021-03-08,1,PART_3
100,ec7ccc46-dc28-407b-b067-3e1bdec74b03,1,2021-03-09,4,PART_2
101,ec7ccc46-dc28-407b-b067-3e1bdec74b03,1,2021-03-10,1,PART_2
102,ec7ccc46-dc28-407b-b067-3e1bdec74b03,1,2021-03-11,1,PART_1
103,ec7ccc46-dc28-407b-b067-3e1bdec74b03,1,2021-03-11,3,PART_2
104,ec7ccc46-dc28-407b-b067-3e1bdec74b03,1,2021-03-11,4,PART_3
105,ec7ccc46-dc28-407b-b067-3e1bdec74b03,1,2021-03-12,2,PART_1
106,ec7ccc46-dc28-407b-b067-3e1bdec74b03,1,2021-03-12,1,PART_2
107,ec7ccc46-dc28-407b-b067-3e1bdec74b03,1,2021-03-13,1,PART_4
108,ec7ccc46-dc28-407b-b067-3e1bdec74b03,1,2021-03-14,1,PART_1
109,ec7ccc46-dc28-407b-b067-3e1bdec74b03,1,2021-03-14,1,PART_2
110,ec7ccc46-dc28-407b-b067-3e1bdec74b03,1,2021-03-14,3,PART_3
111,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-19,1,PART_3
112,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-20,1,PART_3
113,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-20,2,PART_4
114,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-21,3,PART_2
115,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-21,2,PART_3
116,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-22,3,PART_2
117,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2,2021-03-22,2,PART_2
118,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-22,8,PART_3
119,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-22,1,PART_4
120,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-23,8,PART_2
121,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-23,3,PART_3
122,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-24,1,PART_1
123,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-24,3,PART_2
124,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-24,3,PART_3
125,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-24,1,PART_4
126,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-25,3,PART_2
127,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-25,2,PART_3
128,c8308959-2867-46e5-bf0b-4ee3e795a1b7,1,2021-03-26,1,PART_1
