,device_id,count_wifi
116,ec7ccc46-dc28-407b-b067-3e1bdec74b03,26
117,f3816910-3ab3-400e-9804-48a6a8791204,71
118,f39def2c-f526-4d19-8562-821fd0394be4,1
119,f599650a-4218-4dd2-9d95-a15c105ebce8,209
120,f82c37c5-7678-4c82-9ddd-427ac0abd9d7,637
121,f856f324-d9f5-4fee-b92d-88efe586bc22,16
122,f8ca21ce-9050-4b63-9e01-eb10dcd032a6,872
123,f9765c67-7aff-4a15-be88-36b0c7577fd0,424
124,f9882fcd-51b6-4c7f-9fbc-44a055fe15a3,1
125,fc956b51-2108-4081-b863-036167f5f524,89
126,fe081513-1e2d-4f58-bb2c-4dfe5626e537,3
