,device_id,date,battery_start,part_of_the_day
30,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,60,PART_2
31,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,21,PART_3
32,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-11,59,PART_3
33,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,20,PART_1
34,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,44,PART_1
35,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,3,PART_2
36,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,45,PART_2
37,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,34,PART_3
38,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-12,5,PART_4
39,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,12,PART_1
40,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-13,48,PART_1
41,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-13,42,PART_2
42,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-13,55,PART_2
43,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-13,34,PART_2
44,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,16,PART_3
45,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,15,PART_3
46,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,15,PART_3
47,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,92,PART_1
48,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,43,PART_1
49,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,92,PART_1
50,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,86,PART_2
51,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,86,PART_2
52,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,92,PART_2
53,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,96,PART_2
54,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,94,PART_2
55,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,94,PART_2
56,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,49,PART_3
57,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,85,PART_3
58,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-15,14,PART_1
59,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-16,44,PART_2
60,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-16,89,PART_3
