,device_id,date,call_type,counter,part_of_the_day
446,396fc6c7-66b3-48e0-939b-157f1d2da6bb,2021-03-31,2,1,PART_4
447,459a5898-acb9-4735-b5a6-3b532d4b63a3,2021-04-02,2,1,PART_4
448,b5af9398-e131-451b-8c78-968d1805f058,2021-04-01,2,7,PART_3
449,b5af9398-e131-451b-8c78-968d1805f058,2021-04-01,1,4,PART_3
450,b5af9398-e131-451b-8c78-968d1805f058,2021-04-01,2,1,PART_4
451,b5af9398-e131-451b-8c78-968d1805f058,2021-04-02,2,3,PART_2
452,b5af9398-e131-451b-8c78-968d1805f058,2021-04-02,3,1,PART_2
453,b5af9398-e131-451b-8c78-968d1805f058,2021-04-02,1,1,PART_2
454,b5af9398-e131-451b-8c78-968d1805f058,2021-04-02,2,3,PART_3
455,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-02,2,4,PART_4
456,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-02,1,1,PART_4
457,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-03,3,1,PART_1
458,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-03,2,1,PART_1
459,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-03,3,1,PART_2
460,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-03,2,2,PART_2
461,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-03,1,2,PART_2
462,f9882fcd-51b6-4c7f-9fbc-44a055fe15a3,2021-04-03,3,1,PART_3
463,b85697a2-352d-4df0-93e4-33b9998167b1,2021-04-03,2,2,PART_3
464,4cb7d565-b49a-40fb-b6d6-1d5dc6e354d2,2021-04-03,2,1,PART_3
465,b85697a2-352d-4df0-93e4-33b9998167b1,2021-04-03,1,2,PART_3
466,f9882fcd-51b6-4c7f-9fbc-44a055fe15a3,2021-04-03,2,1,PART_3
467,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-03,2,1,PART_3
468,216f9f63-1699-4b3e-85fa-0013505dc5fd,2021-04-03,3,1,PART_3
469,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-04-03,3,1,PART_3
470,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-03,1,2,PART_3
471,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-03,3,1,PART_3
472,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-03,2,1,PART_3
473,459a5898-acb9-4735-b5a6-3b532d4b63a3,2021-04-03,1,1,PART_3
474,216f9f63-1699-4b3e-85fa-0013505dc5fd,2021-04-03,2,2,PART_3
475,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-04-03,2,1,PART_3
476,b85697a2-352d-4df0-93e4-33b9998167b1,2021-04-03,3,1,PART_3
477,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-03,3,2,PART_4
478,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-03,1,1,PART_3
479,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-03,2,3,PART_3
480,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-03,1,3,PART_4
481,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-04-03,3,1,PART_4
482,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-04-03,2,1,PART_4
483,b85697a2-352d-4df0-93e4-33b9998167b1,2021-04-04,1,1,PART_1
484,85386662-12c6-4e15-83f6-9300da37898a,2021-04-04,1,6,PART_1
485,04833a47-4da4-493c-af58-403d88c27e63,2021-04-02,2,1,PART_2
486,04833a47-4da4-493c-af58-403d88c27e63,2021-04-03,2,1,PART_4
487,85386662-12c6-4e15-83f6-9300da37898a,2021-04-04,2,7,PART_1
488,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-03,2,1,PART_4
489,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-03,1,1,PART_4
490,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-04,1,1,PART_1
491,f39def2c-f526-4d19-8562-821fd0394be4,2021-04-04,2,1,PART_1
492,d5a6f56a-665e-45a2-8679-ae28df7c3464,2021-04-04,1,1,PART_1
493,85386662-12c6-4e15-83f6-9300da37898a,2021-04-04,3,1,PART_1
494,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,2,2,PART_1
495,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,1,1,PART_1
496,85386662-12c6-4e15-83f6-9300da37898a,2021-04-04,1,12,PART_2
497,459a5898-acb9-4735-b5a6-3b532d4b63a3,2021-04-04,3,2,PART_1
498,04833a47-4da4-493c-af58-403d88c27e63,2021-04-04,1,10,PART_2
499,85386662-12c6-4e15-83f6-9300da37898a,2021-04-04,2,21,PART_2
500,459a5898-acb9-4735-b5a6-3b532d4b63a3,2021-04-04,1,1,PART_2
501,85386662-12c6-4e15-83f6-9300da37898a,2021-04-04,3,2,PART_2
502,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,2,4,PART_2
503,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-04,1,2,PART_2
504,d5a6f56a-665e-45a2-8679-ae28df7c3464,2021-04-04,2,2,PART_2
505,d5a6f56a-665e-45a2-8679-ae28df7c3464,2021-04-04,1,3,PART_2
506,04833a47-4da4-493c-af58-403d88c27e63,2021-04-04,2,6,PART_2
507,f9882fcd-51b6-4c7f-9fbc-44a055fe15a3,2021-04-04,3,1,PART_2
508,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-04,2,4,PART_1
509,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-04,1,4,PART_1
510,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-04,2,9,PART_2
511,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-04,1,22,PART_2
512,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-03,2,3,PART_3
513,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-04,2,2,PART_2
514,04833a47-4da4-493c-af58-403d88c27e63,2021-04-04,3,3,PART_2
515,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,3,1,PART_2
516,216f9f63-1699-4b3e-85fa-0013505dc5fd,2021-04-03,1,1,PART_3
517,216f9f63-1699-4b3e-85fa-0013505dc5fd,2021-04-04,3,2,PART_2
518,216f9f63-1699-4b3e-85fa-0013505dc5fd,2021-04-04,1,1,PART_2
519,f39def2c-f526-4d19-8562-821fd0394be4,2021-04-04,1,4,PART_2
520,f8ca21ce-9050-4b63-9e01-eb10dcd032a6,2021-04-04,2,3,PART_1
521,f8ca21ce-9050-4b63-9e01-eb10dcd032a6,2021-04-04,2,1,PART_2
522,f8ca21ce-9050-4b63-9e01-eb10dcd032a6,2021-04-04,2,4,PART_3
523,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-04,3,1,PART_3
524,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-04,2,2,PART_3
525,4cb7d565-b49a-40fb-b6d6-1d5dc6e354d2,2021-04-04,1,1,PART_2
526,4cb7d565-b49a-40fb-b6d6-1d5dc6e354d2,2021-04-04,2,1,PART_2
527,4cb7d565-b49a-40fb-b6d6-1d5dc6e354d2,2021-04-04,3,1,PART_2
528,4cb7d565-b49a-40fb-b6d6-1d5dc6e354d2,2021-04-04,2,1,PART_3
529,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-04-03,2,1,PART_3
530,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-04-04,2,9,PART_2
531,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-04-04,3,1,PART_2
