,device_id,date,part_of_the_day,count_screen_on
60,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
61,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
62,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_4,1
63,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_4,1
64,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
65,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
66,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
67,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
68,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_4,1
69,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
70,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
71,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
72,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
73,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
74,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
75,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
76,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,PART_2,1
77,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,PART_2,1
78,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,PART_2,1
79,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,PART_2,1
80,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,PART_2,1
81,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,PART_2,1
82,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,PART_2,1
83,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,PART_2,1
84,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,PART_2,1
85,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,PART_2,1
86,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,PART_2,1
87,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,PART_2,1
88,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,PART_2,1
89,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-10,PART_2,1
90,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
91,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
92,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
93,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
94,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
95,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
96,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
97,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
98,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
99,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
100,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
101,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
102,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
103,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_1,1
104,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_2,1
105,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_2,1
106,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_2,1
107,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_2,1
108,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_2,1
109,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-10,PART_2,1
