,device_id,date,part_of_the_day,call_type,dis_trace
23,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-03,PART_2,3,1
24,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-03,PART_3,2,1
25,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-03,PART_4,3,1
26,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,PART_1,1,1
27,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,PART_1,2,2
28,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,PART_2,1,1
29,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,PART_2,2,2
30,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,PART_2,3,1
31,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,PART_3,1,4
32,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,PART_3,2,7
33,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,PART_4,3,1
34,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-05,PART_2,1,1
35,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-05,PART_2,2,2
36,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-05,PART_2,3,1
37,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-05,PART_3,1,3
38,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-05,PART_3,2,2
39,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-05,PART_4,1,1
40,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-06,PART_1,1,1
41,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-06,PART_1,2,4
42,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-06,PART_1,3,1
43,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-06,PART_2,1,2
44,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-06,PART_2,2,4
45,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-06,PART_3,1,1
