,Bluetooth_count_week,wifi_count_week,Bluetooth_mean_24h,wifi_mean_24h,screen_count_week,Screen_avg_time_week,screen_count_treshold_week,screen_count_mean_24,Screen_avg_time_24,screen_mean_treshold_24,Battery_count_threshold_week,Battery_count_week,Battery_avg_threshold_24h,Battery_avg_24h,Calls_count_incoming_week,Calls_count_outgoing_week,Calls_count_missing_week,calls_duration_mean_week,Calls_trace_incoming_week,Calls_trace_outgoing_week,Calls_trace_missing_week,Call_ratio_week,messages_count_incoming_week,messages_count_outgoing_week,messages_trace_outgoing_week,messages_trace_incoming_week,Calls_mean_incoming_24h,Calls_mean_outgoing_24h,Calls_mean_missing_24h,calls_duration_mean_24h,Calls_trace_mean_incoming_24h,Calls_trace_mean_outgoing_24h,Calls_trace_mean_missing_24h,Call_ratio_24h,messages_mean_incoming_24h,messages_mean_outgoing_24h,messages_trace_outgoing_24h,messages_trace_incoming_24h
Battery_count_threshold_week,0.12509126675806487,0.06855712836666263,0.24594536522860114,0.190281437265467,0.3602884874356024,-0.09075858431024572,0.43742542432126075,0.4065615047625634,-0.047022943791398694,0.29595927625443386,1.0,0.18952636127973374,0.6377247583969728,0.11128163313266222,0.21695040680971228,0.31696048992414866,0.21869971808372207,0.07428107737965156,0.2680234089674781,0.13568775346704068,0.2447846737198954,-0.23152602422674173,0.18969670799596855,0.3131470240634011,0.1363340358176294,0.23485772676010264,0.17596671881923862,0.226568395922671,0.0037741546656156607,-0.02988753677394447,0.13422408367748118,0.18778051976502846,0.13229929745981697,-0.2094574630946018,0.15243919512810528,0.2574091826430501,0.11463095016324179,0.3086007441042566
Battery_count_week,0.03517101287016316,0.14145073397527919,0.05365451125830496,0.109511936518214,0.3049647209711672,-0.11493223813177261,0.2621572395013565,0.24235341389055595,-0.13504411671830946,0.22976828784750034,0.18952636127973374,1.0,0.03345366029871662,0.36966750364963974,0.22642138902756054,0.1683105515667729,0.20266771851833068,0.006607830270077285,0.23333121422623557,0.2723718074142432,0.10752457389563788,-0.03542781427247836,0.27648285337910455,0.04859350453162501,0.2582311804067551,0.12266683697339277,0.16094742323844888,0.19660575338566902,0.1673722856072821,-0.007795609277843712,0.1389767365331292,0.20594366800544647,-0.019544146388478907,-0.00990389250399701,0.19601844195751444,-0.009230965783690105,0.19239113921931394,0.0921774513901412
Battery_avg_threshold_24h,0.08203868716994371,0.19267980154670178,0.2572224715371971,0.13320615183996953,0.48569495729728707,-0.07885124175900023,0.48593709095926896,0.5201102831406005,-0.10493445055309435,0.30717075412929706,0.6377247583969728,0.03345366029871662,1.0,0.11139221418310437,0.2487277968202399,0.23706965149576106,0.21612217346998483,0.10376816230777819,0.20993844576371995,0.15040781893842772,0.17700756277118815,-0.19165085275527707,0.168640746661451,0.1825899065784409,0.1621887118772367,0.1964475830890465,0.081001999273073,0.13719044469416675,0.026158154964155248,-0.01348414659098976,0.07477305537638596,0.14244390678845528,0.11713656242718666,-0.12618964966705773,0.15927197804573576,0.18099777312160642,0.17960504123490428,0.32330393729258994
Battery_avg_24h,0.16639645487116134,-0.06555421471606337,-0.011226831700334262,0.12181436804026348,0.061428849378143226,-0.038742638276070676,-0.058506299376006134,-0.012730530389420187,-0.02882762895728936,-0.11522642841405539,0.11128163313266222,0.36966750364963974,0.11139221418310437,1.0,0.14602476274753848,0.10822193844809974,-0.017214457631064075,0.03306738224051363,0.17572681635929904,0.1074386068479798,-0.1045944479117436,0.11177303523961644,0.14732514178810663,-0.0652162105870602,0.11981504875998158,0.014515444875780964,0.06747952222071302,-0.027441504353124792,0.2067455654757613,0.037548259686074455,0.10013653627628002,0.08246155493475046,-0.12941925025624224,0.10195997357186407,0.1270168769772371,-0.14172839796185316,0.13139419391042678,-0.0494329254086862
Calls_count_incoming_week,0.13663332872637368,0.28762288998848623,0.34826815174370257,0.2900053781800977,0.4271635205945076,-0.07852343003582973,0.35101808631640424,0.4259145043705264,-0.06358462845974842,0.22149965777395214,0.21695040680971228,0.22642138902756054,0.2487277968202399,0.14602476274753848,1.0,0.5878374256582238,0.5750712926668103,0.2832277272582834,0.8005420863176748,0.5925991085441414,0.5026736460576887,0.024365383575111754,0.48682438500951314,0.19417523337853596,0.5023249388082793,0.253267239252899,0.7253577687723514,0.5015170141724602,0.2921327181352536,0.29032768628140726,0.6500847012473084,0.5005833432207105,0.32300089495947953,-0.02516253817160689,0.475803654128506,0.13390051067803038,0.5009320492780924,0.30440670556712257
Calls_count_outgoing_week,0.07408719240925767,0.1571475855523246,0.4032597626969165,0.3079102693302141,0.4741451067955287,-0.1077356189312272,0.39145169508817895,0.5037112246023555,-0.07778294799075881,0.4164059721581816,0.31696048992414866,0.1683105515667729,0.23706965149576106,0.10822193844809974,0.5878374256582238,1.0,0.7198325738739874,0.1697384294036198,0.6158680997342462,0.7635296964542362,0.6471519171708355,-0.1335456788495938,0.35864934647390717,0.07646660296965137,0.40929950642042007,0.2373614593950043,0.5556222253060908,0.6430891330763266,0.20618832800936512,0.21533181867579798,0.4439548325658888,0.5751236019079436,0.22235327684045672,-0.07821864281670186,0.3383646510825978,0.10471904840652933,0.42343074722024926,0.38383512082246835
Calls_count_missing_week,-0.04178441357797115,0.1631249678858633,0.23271238207764397,0.19635813521233444,0.4034507980852206,-0.07888647134428013,0.32091971793512797,0.5032580554198375,-0.07671316236718204,0.2651795847924021,0.21869971808372207,0.20266771851833068,0.21612217346998483,-0.017214457631064075,0.5750712926668103,0.7198325738739874,1.0,0.20772802033825208,0.5603911062996103,0.6808175750239669,0.8285490062911173,-0.08929567176368775,0.42834778661865947,0.2513996505679751,0.40557701034150156,0.28441328017485185,0.5331737800978669,0.6932928983882428,0.3638727181844402,0.22536715290616233,0.43412513717409384,0.566397449049599,0.3738957832337626,0.1761771621195296,0.4146467597572596,0.24475384931092162,0.3767244623778613,0.39223880020967394
calls_duration_mean_week,-0.15367442413419474,-0.13241228423115664,-0.12143756305537863,-0.08464318254227989,-0.007325516177198344,-0.06330105466744763,0.062049842668486836,0.022824040016018416,-0.09869621604326964,0.0018356982993439344,0.07428107737965156,0.006607830270077285,0.10376816230777819,0.03306738224051363,0.2832277272582834,0.1697384294036198,0.20772802033825208,1.0,0.2244688760163306,0.2549924501417717,0.19852408808809008,0.027000683205078178,0.06347706495383947,-0.011171662001739583,0.04878406143107121,-0.036836828914248325,0.2963985094066994,0.31186191000386343,0.014017397919859427,0.8995705091790601,0.23153040903972213,0.18162008798899046,0.003963723483772985,-0.05351745608641655,0.059063250123366676,0.012500045091825672,0.06882888552439322,-0.01794550352454957
Calls_trace_incoming_week,0.1412833624005359,0.24715706013719924,0.37223116094003406,0.18645416643773075,0.44311046421159617,-0.042641431075468826,0.3732364136889748,0.4132619597904253,-0.026873463238203388,0.27681543895593175,0.2680234089674781,0.23333121422623557,0.20993844576371995,0.17572681635929904,0.8005420863176748,0.6158680997342462,0.5603911062996103,0.2244688760163306,1.0,0.6607513787832845,0.6558684385629675,0.006546874464802145,0.4693951256600976,0.15905743315214876,0.4683533660698859,0.2425174657374634,0.7295356628898914,0.5103461886898109,0.2697981756059721,0.22726478960563945,0.5264866803560572,0.6285457722554083,0.36187725517212116,-0.05336029357956865,0.4560831042328261,0.13266133907057415,0.43976641726438903,0.2873470229927886
Calls_trace_outgoing_week,-0.03188484510221816,0.28394651104946106,0.3923603819548345,0.28596677871458137,0.4500410357812371,-0.04704836836833626,0.31817373834915647,0.392301640328111,-0.0487806384854157,0.36220256287808644,0.13568775346704068,0.2723718074142432,0.15040781893842772,0.1074386068479798,0.5925991085441414,0.7635296964542362,0.6808175750239669,0.2549924501417717,0.6607513787832845,1.0,0.6513620488041271,-0.13211045044532455,0.4123373161408704,0.09935704741410875,0.38165310162268307,0.20200074004073648,0.5928847544727958,0.7088108838723683,0.21290991486497327,0.24461427399041494,0.4680587513521946,0.6656032096283492,0.15678005590493077,-0.06166617862131482,0.3556204248173908,0.08951026272627922,0.33018290051416754,0.24046661334235167
